Name,Value,Class
A,3x3,sym
A11,1x1,sym
A12,1x1,sym
A13,1x1,sym
A21,1x1,sym
A22,1x1,sym
A23,1x1,sym
A31,1x1,sym
A32,1x1,sym
A33,1x1,sym
B,3x3,sym
B11,1x1,sym
B12,1x1,sym
B13,1x1,sym
B21,1x1,sym
B22,1x1,sym
B23,1x1,sym
B31,1x1,sym
B32,1x1,sym
B33,1x1,sym
CAB,6x6,sym
Cab,3x3x3x3,sym
CA_B,6x6,sym
Ca_b,3x3x3x3,sym
cfg,1x1,coder.MexCodeConfig
i,3,double
j,3,double
k,3,double
l,3,double
